id,liquidity_tier,usd_size,input_mint,output_mint,amount,ours_status,ours_out,jup_restricted_status,jup_restricted_out,jup_unrestricted_status,jup_unrestricted_out,delta_bps_vs_restricted,delta_bps_vs_unrestricted,outcome_vs_restricted,ours_server_ms,ours_rtt_ms,jup_restricted_rtt_ms,jup_unrestricted_rtt_ms,jaccard_vs_restricted
sol-C7zZwC6Y-1usd-rev,mid,1,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,So11111111111111111111111111111111111111112,8599136,no_route,,no_route,,no_route,,,,both_no_route,,49.210,101.169,149.841,
sol-C7zZwC6Y-10usd-fwd,mid,10,So11111111111111111111111111111111111111112,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,62500000,no_route,,no_route,,no_route,,,,both_no_route,,103.197,110.388,100.062,
sol-C7zZwC6Y-10usd-rev,mid,10,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,So11111111111111111111111111111111111111112,85991356,no_route,,no_route,,no_route,,,,both_no_route,,48.582,106.748,154.042,
sol-C7zZwC6Y-100usd-fwd,mid,100,So11111111111111111111111111111111111111112,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,625000000,no_route,,no_route,,no_route,,,,both_no_route,,59.077,122.291,184.973,
sol-C7zZwC6Y-100usd-rev,mid,100,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,So11111111111111111111111111111111111111112,859913559,no_route,,no_route,,no_route,,,,both_no_route,,59.796,108.539,99.975,
sol-C7zZwC6Y-1000usd-fwd,mid,1000,So11111111111111111111111111111111111111112,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,6250000000,no_route,,no_route,,no_route,,,,both_no_route,,72.702,144.623,156.770,
sol-C7zZwC6Y-1000usd-rev,mid,1000,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,So11111111111111111111111111111111111111112,8599135591,no_route,,no_route,,no_route,,,,both_no_route,,60.340,119.830,197.445,
sol-C7zZwC6Y-10000usd-fwd,mid,10000,So11111111111111111111111111111111111111112,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,62500000000,no_route,,no_route,,no_route,,,,both_no_route,,71.906,134.993,112.855,
sol-C7zZwC6Y-10000usd-rev,mid,10000,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,So11111111111111111111111111111111111111112,85991355912,no_route,,no_route,,no_route,,,,both_no_route,,66.464,112.521,128.747,
sol-C7zZwC6Y-100000usd-fwd,mid,100000,So11111111111111111111111111111111111111112,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,625000000000,no_route,,no_route,,no_route,,,,both_no_route,,56.921,172.831,202.496,
sol-C7zZwC6Y-100000usd-rev,mid,100000,C7zZwC6YSuh7tTxnHGMjWBFkN5jdYJr2dqj53U6Tp6bQ,So11111111111111111111111111111111111111112,859913559119,no_route,,no_route,,no_route,,,,both_no_route,,58.842,99.041,185.355,
sol-3TYgKwkE-0.1usd-fwd,tail,0.1,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,625000,ok,192973399,ok,191445729,ok,191445729,79.797,79.797,win,73.000,73.453,162.848,173.879,1.000
sol-3TYgKwkE-0.1usd-rev,tail,0.1,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,30304958,ok,97563,ok,96780,ok,96780,80.905,80.905,win,60.000,61.184,212.606,111.627,1.000
